predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
RPA,NDMI,50,0.1359,0.1245,0.1472,
RPA,NDMI,51,0.1323,0.1201,0.1445,
RPA,NDMI,52,0.1292,0.1169,0.1414,
RPA,NDWI,1,-0.5885,-0.5885,-0.5885,
RPA,NDWI,2,-0.5769,-0.5769,-0.5769,-0.6488
RPA,NDWI,3,-0.5908,-0.6050,-0.5766,-0.6395
RPA,NDWI,4,-0.5262,-0.5262,-0.5262,-0.6419
RPA,NDWI,5,-0.5905,-0.6011,-0.5800,-0.6574
RPA,NDWI,6,-0.5895,-0.6066,-0.5724,-0.6752
RPA,NDWI,7,-0.5957,-0.6099,-0.5816,-0.6739
RPA,NDWI,8,-0.6250,-0.6250,-0.6250,-0.6766
RPA,NDWI,9,-0.6003,-0.6122,-0.5885,-0.6697
RPA,NDWI,10,-0.6197,-0.6299,-0.6096,-0.6721
RPA,NDWI,11,-0.5469,-0.5757,-0.5180,-0.6673
RPA,NDWI,12,-0.6128,-0.6203,-0.6052,-0.6866
RPA,NDWI,13,-0.5585,-0.5585,-0.5585,-0.6948
RPA,NDWI,14,-0.6481,-0.6617,-0.6344,-0.6975
RPA,NDWI,15,-0.6681,-0.6681,-0.6681,-0.7126
RPA,NDWI,16,-0.6351,-0.6351,-0.6351,-0.5675
RPA,NDWI,17,-0.6522,-0.6628,-0.6416,-0.7113
RPA,NDWI,18,-0.6776,-0.6776,-0.6776,-0.7260
RPA,NDWI,19,-0.6436,-0.6436,-0.6436,-0.6947
RPA,NDWI,20,-0.6504,-0.6505,-0.6502,
RPA,NDWI,21,,,,
RPA,NDWI,22,-0.7048,-0.7143,-0.6953,
RPA,NDWI,23,,,,
RPA,NDWI,24,-0.6241,-0.6241,-0.6241,
RPA,NDWI,25,-0.7307,-0.7307,-0.7307,
RPA,NDWI,26,-0.6728,-0.6728,-0.6728,
RPA,NDWI,27,-0.6748,-0.6862,-0.6634,
RPA,NDWI,28,-0.6635,-0.6755,-0.6514,
RPA,NDWI,29,-0.6624,-0.6746,-0.6503,
RPA,NDWI,30,-0.5314,-0.5314,-0.5314,
RPA,NDWI,31,,,,
RPA,NDWI,32,-0.6593,-0.6753,-0.6434,
RPA,NDWI,33,,,,
RPA,NDWI,34,-0.6231,-0.6231,-0.6231,
RPA,NDWI,35,-0.6743,-0.6743,-0.6743,
RPA,NDWI,36,-0.6235,-0.6297,-0.6173,
RPA,NDWI,37,-0.6177,-0.6319,-0.6034,
RPA,NDWI,38,-0.6355,-0.6355,-0.6355,
RPA,NDWI,39,-0.6125,-0.6201,-0.6048,
RPA,NDWI,40,-0.5857,-0.5857,-0.5857,
RPA,NDWI,41,-0.6101,-0.6101,-0.6101,
RPA,NDWI,42,,,,
RPA,NDWI,43,-0.5922,-0.6022,-0.5821,
RPA,NDWI,44,-0.5880,-0.5924,-0.5836,
RPA,NDWI,45,-0.5661,-0.5661,-0.5661,
RPA,NDWI,46,-0.5875,-0.6062,-0.5687,
RPA,NDWI,47,-0.5976,-0.6093,-0.5859,
RPA,NDWI,48,-0.5931,-0.5931,-0.5931,
RPA,NDWI,49,-0.6085,-0.6177,-0.5994,
RPA,NDWI,50,-0.6134,-0.6238,-0.6031,
RPA,NDWI,51,-0.6076,-0.6171,-0.5981,
RPA,NDWI,52,-0.6118,-0.6247,-0.5989,
RPA,MNDWI,1,-0.5248,-0.5248,-0.5248,
RPA,MNDWI,2,-0.5390,-0.5390,-0.5390,-0.5666
RPA,MNDWI,3,-0.5442,-0.5506,-0.5378,-0.5441
RPA,MNDWI,4,-0.4842,-0.4842,-0.4842,-0.5635
RPA,MNDWI,5,-0.5438,-0.5473,-0.5404,-0.5770
RPA,MNDWI,6,-0.5411,-0.5483,-0.5339,-0.5921
RPA,MNDWI,7,-0.5464,-0.5506,-0.5423,-0.5849
RPA,MNDWI,8,-0.5556,-0.5556,-0.5556,-0.5887
RPA,MNDWI,9,-0.5493,-0.5517,-0.5469,-0.5891
RPA,MNDWI,10,-0.5612,-0.5648,-0.5576,-0.5981
RPA,MNDWI,11,-0.4838,-0.5215,-0.4460,-0.5804
RPA,MNDWI,12,-0.5538,-0.5546,-0.5531,-0.6018
RPA,MNDWI,13,-0.5010,-0.5010,-0.5010,-0.5964
RPA,MNDWI,14,-0.5753,-0.5788,-0.5718,-0.5931
RPA,MNDWI,15,-0.5784,-0.5784,-0.5784,-0.6083
RPA,MNDWI,16,-0.5722,-0.5722,-0.5722,-0.3974
RPA,MNDWI,17,-0.5706,-0.5739,-0.5674,-0.5949
RPA,MNDWI,18,-0.5733,-0.5733,-0.5733,-0.6099
RPA,MNDWI,19,-0.5396,-0.5396,-0.5396,-0.5447
RPA,MNDWI,20,-0.5190,-0.5433,-0.4948,
RPA,MNDWI,21,,,,
RPA,MNDWI,22,-0.5770,-0.5901,-0.5640,
RPA,MNDWI,23,,,,
RPA,MNDWI,24,-0.4805,-0.4805,-0.4805,
RPA,MNDWI,25,-0.5654,-0.5654,-0.5654,
RPA,MNDWI,26,-0.5435,-0.5534,-0.5336,
RPA,MNDWI,27,-0.5631,-0.5695,-0.5567,
RPA,MNDWI,28,-0.5438,-0.5439,-0.5436,
RPA,MNDWI,29,-0.5443,-0.5469,-0.5416,
RPA,MNDWI,30,-0.3471,-0.3471,-0.3471,
RPA,MNDWI,31,,,,
RPA,MNDWI,32,-0.5419,-0.5477,-0.5362,
RPA,MNDWI,33,,,,
RPA,MNDWI,34,-0.5275,-0.5275,-0.5275,
RPA,MNDWI,35,-0.5434,-0.5434,-0.5434,
RPA,MNDWI,36,-0.5055,-0.5069,-0.5041,
RPA,MNDWI,37,-0.5071,-0.5157,-0.4985,
RPA,MNDWI,38,-0.5101,-0.5101,-0.5101,
RPA,MNDWI,39,-0.5073,-0.5079,-0.5066,
RPA,MNDWI,40,-0.5001,-0.5001,-0.5001,
RPA,MNDWI,41,-0.4873,-0.4873,-0.4873,
RPA,MNDWI,42,,,,
RPA,MNDWI,43,-0.5197,-0.5208,-0.5186,
RPA,MNDWI,44,-0.5174,-0.5240,-0.5108,
RPA,MNDWI,45,-0.4583,-0.4583,-0.4583,
RPA,MNDWI,46,-0.5152,-0.5213,-0.5092,
RPA,MNDWI,47,-0.5248,-0.5259,-0.5237,
RPA,MNDWI,48,-0.5338,-0.5338,-0.5338,
RPA,MNDWI,49,-0.5343,-0.5372,-0.5314,
RPA,MNDWI,50,-0.5378,-0.5421,-0.5334,
RPA,MNDWI,51,-0.5320,-0.5343,-0.5297,
RPA,MNDWI,52,-0.5409,-0.5478,-0.5341,
RPA,GNDVI,1,0.5885,0.5885,0.5885,
RPA,GNDVI,2,0.5769,0.5769,0.5769,0.6488
RPA,GNDVI,3,0.5908,0.5766,0.6050,0.6395
RPA,GNDVI,4,0.5262,0.5262,0.5262,0.6419
RPA,GNDVI,5,0.5905,0.5800,0.6011,0.6574
RPA,GNDVI,6,0.5895,0.5724,0.6066,0.6752
RPA,GNDVI,7,0.5957,0.5816,0.6099,0.6739
RPA,GNDVI,8,0.6250,0.6250,0.6250,0.6766
RPA,GNDVI,9,0.6003,0.5885,0.6122,0.6697
RPA,GNDVI,10,0.6197,0.6096,0.6299,0.6721
RPA,GNDVI,11,0.5469,0.5180,0.5757,0.6673
RPA,GNDVI,12,0.6128,0.6052,0.6203,0.6867
RPA,GNDVI,13,0.5585,0.5585,0.5585,0.6948
RPA,GNDVI,14,0.6481,0.6344,0.6617,0.6975
RPA,GNDVI,15,0.6681,0.6681,0.6681,0.7126
RPA,GNDVI,16,0.6351,0.6351,0.6351,0.5675
RPA,GNDVI,17,0.6522,0.6416,0.6628,0.7113
RPA,GNDVI,18,0.6776,0.6776,0.6776,0.7260
RPA,GNDVI,19,0.6436,0.6436,0.6436,0.6947
RPA,GNDVI,20,0.6504,0.6502,0.6506,
RPA,GNDVI,21,,,,
RPA,GNDVI,22,0.7048,0.6953,0.7143,
RPA,GNDVI,23,,,,
RPA,GNDVI,24,0.6241,0.6241,0.6241,
RPA,GNDVI,25,0.7307,0.7307,0.7307,
RPA,GNDVI,26,0.6728,0.6728,0.6728,
RPA,GNDVI,27,0.6748,0.6634,0.6862,
RPA,GNDVI,28,0.6635,0.6514,0.6755,
RPA,GNDVI,29,0.6624,0.6503,0.6746,
RPA,GNDVI,30,0.5314,0.5314,0.5314,
RPA,GNDVI,31,,,,
RPA,GNDVI,32,0.6593,0.6434,0.6753,
RPA,GNDVI,33,,,,
RPA,GNDVI,34,0.6231,0.6231,0.6231,
RPA,GNDVI,35,0.6743,0.6743,0.6743,
RPA,GNDVI,36,0.6235,0.6173,0.6297,
RPA,GNDVI,37,0.6177,0.6034,0.6319,
RPA,GNDVI,38,0.6355,0.6355,0.6355,
RPA,GNDVI,39,0.6125,0.6048,0.6201,
RPA,GNDVI,40,0.5857,0.5857,0.5857,
RPA,GNDVI,41,0.6101,0.6101,0.6101,
RPA,GNDVI,42,,,,
RPA,GNDVI,43,0.5922,0.5821,0.6022,
RPA,GNDVI,44,0.5880,0.5836,0.5924,
RPA,GNDVI,45,0.5661,0.5661,0.5661,
RPA,GNDVI,46,0.5875,0.5687,0.6062,
RPA,GNDVI,47,0.5976,0.5859,0.6093,
RPA,GNDVI,48,0.5931,0.5931,0.5931,
RPA,GNDVI,49,0.6085,0.5994,0.6177,
RPA,GNDVI,50,0.6134,0.6031,0.6238,
RPA,GNDVI,51,0.6076,0.5981,0.6171,
RPA,GNDVI,52,0.6118,0.5989,0.6247,
RPA,EVI,1,0.3668,0.3668,0.3668,
RPA,EVI,2,0.3451,0.3451,0.3451,0.4184
RPA,EVI,3,0.3469,0.3379,0.3559,0.4273
RPA,EVI,4,0.3327,0.3327,0.3327,0.4021
RPA,EVI,5,0.3357,0.3248,0.3465,0.4130
RPA,EVI,6,0.3328,0.3204,0.3453,0.4182
RPA,EVI,7,0.3322,0.3179,0.3465,0.4106
RPA,EVI,8,0.3648,0.3648,0.3648,0.4035
RPA,EVI,9,0.3262,0.3162,0.3361,0.3873
RPA,EVI,10,0.3376,0.3292,0.3459,0.3738
RPA,EVI,11,0.3159,0.3154,0.3163,0.3832
RPA,EVI,12,0.3300,0.3211,0.3389,0.3930
RPA,EVI,13,0.3225,0.3225,0.3225,0.4072
RPA,EVI,14,0.3525,0.3373,0.3678,0.3981
RPA,EVI,15,0.3677,0.3677,0.3677,0.4131
RPA,EVI,16,0.3297,0.3297,0.3297,0.4230
RPA,EVI,17,0.3461,0.3361,0.3561,0.4034
RPA,EVI,18,0.3672,0.3672,0.3672,0.4092
RPA,EVI,19,0.3448,0.3448,0.3448,0.4009
RPA,EVI,20,0.4024,0.3714,0.4333,
RPA,EVI,21,,,,
RPA,EVI,22,0.2865,0.2456,0.3273,
RPA,EVI,23,,,,
RPA,EVI,24,0.3464,0.3464,0.3464,
RPA,EVI,25,0.3694,0.3694,0.3694,
RPA,EVI,26,0.3532,0.3460,0.3604,
RPA,EVI,27,0.3530,0.3456,0.3604,
RPA,EVI,28,0.3575,0.3435,0.3715,
RPA,EVI,29,0.3600,0.3501,0.3699,
RPA,EVI,30,0.4098,0.4098,0.4098,
RPA,EVI,31,,,,
RPA,EVI,32,0.3643,0.3489,0.3797,
RPA,EVI,33,,,,
RPA,EVI,34,0.3558,0.3558,0.3558,
RPA,EVI,35,0.3891,0.3891,0.3891,
RPA,EVI,36,0.3763,0.3705,0.3820,
RPA,EVI,37,0.3693,0.3617,0.3770,
RPA,EVI,38,0.3849,0.3849,0.3849,
RPA,EVI,39,0.3668,0.3630,0.3705,
RPA,EVI,40,0.3558,0.3558,0.3558,
RPA,EVI,41,0.3582,0.3582,0.3582,
RPA,EVI,42,,,,
RPA,EVI,43,0.3480,0.3407,0.3554,
RPA,EVI,44,0.3584,0.3519,0.3650,
RPA,EVI,45,0.4142,0.4142,0.4142,
RPA,EVI,46,0.3697,0.3536,0.3859,
RPA,EVI,47,0.3793,0.3647,0.3939,
RPA,EVI,48,0.3569,0.3569,0.3569,
RPA,EVI,49,0.3880,0.3768,0.3992,
RPA,EVI,50,0.3973,0.3849,0.4096,
RPA,EVI,51,0.3924,0.3783,0.4064,
RPA,EVI,52,0.3885,0.3770,0.4000,
RPA,SAVI,1,0.3602,0.3602,0.3602,
RPA,SAVI,2,0.3382,0.3382,0.3382,0.4063
RPA,SAVI,3,0.3469,0.3351,0.3587,0.4091
RPA,SAVI,4,0.3134,0.3134,0.3134,0.3963
RPA,SAVI,5,0.3375,0.3266,0.3485,0.4032
RPA,SAVI,6,0.3347,0.3192,0.3501,0.4145
RPA,SAVI,7,0.3349,0.3204,0.3494,0.4122
RPA,SAVI,8,0.3645,0.3645,0.3645,0.4053
RPA,SAVI,9,0.3307,0.3195,0.3420,0.3902
RPA,SAVI,10,0.3426,0.3331,0.3520,0.3825
RPA,SAVI,11,0.3103,0.3039,0.3168,0.3854
RPA,SAVI,12,0.3328,0.3246,0.3411,0.3947
RPA,SAVI,13,0.3117,0.3117,0.3117,0.4061
RPA,SAVI,14,0.3569,0.3428,0.3709,0.4034
RPA,SAVI,15,0.3726,0.3726,0.3726,0.4120
RPA,SAVI,16,0.3364,0.3364,0.3364,0.3705
RPA,SAVI,17,0.3503,0.3403,0.3603,0.4067
RPA,SAVI,18,0.3692,0.3692,0.3692,0.4127
RPA,SAVI,19,0.3453,0.3453,0.3453,0.3929
RPA,SAVI,20,0.3767,0.3602,0.3933,
RPA,SAVI,21,,,,
RPA,SAVI,22,0.3018,0.2645,0.3391,
RPA,SAVI,23,,,,
RPA,SAVI,24,0.3306,0.3306,0.3306,
RPA,SAVI,25,0.3798,0.3798,0.3798,
RPA,SAVI,26,0.3532,0.3477,0.3588,
RPA,SAVI,27,0.3592,0.3514,0.3670,
RPA,SAVI,28,0.3613,0.3495,0.3731,
RPA,SAVI,29,0.3648,0.3540,0.3755,
RPA,SAVI,30,0.3534,0.3534,0.3534,
RPA,SAVI,31,,,,
RPA,SAVI,32,0.3692,0.3552,0.3831,
RPA,SAVI,33,,,,
RPA,SAVI,34,0.3576,0.3576,0.3576,
RPA,SAVI,35,0.3953,0.3953,0.3953,
RPA,SAVI,36,0.3718,0.3664,0.3772,
RPA,SAVI,37,0.3683,0.3593,0.3773,
RPA,SAVI,38,0.3824,0.3824,0.3824,
