predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
G5,NDVI,1,0.8604,0.8538,0.8670,0.8971
G5,NDVI,2,0.8498,0.8435,0.8561,0.8981
G5,NDVI,3,0.8532,0.8514,0.8549,0.8647
G5,NDVI,4,0.8395,0.8367,0.8424,0.8280
G5,NDVI,5,0.8283,0.8222,0.8345,0.8445
G5,NDVI,6,0.8198,0.8180,0.8216,0.8532
G5,NDVI,7,0.8087,0.8016,0.8159,0.8424
G5,NDVI,8,0.7598,0.7598,0.7598,0.8383
G5,NDVI,9,0.7933,0.7797,0.8070,0.8131
G5,NDVI,10,0.7867,0.7723,0.8011,0.8009
G5,NDVI,11,0.7681,0.7445,0.7917,0.7583
G5,NDVI,12,0.7491,0.7276,0.7707,0.7735
G5,NDVI,13,0.7346,0.7171,0.7520,0.7651
G5,NDVI,14,0.7257,0.7160,0.7353,0.7639
G5,NDVI,15,0.7365,0.7365,0.7365,0.6632
G5,NDVI,16,0.8174,0.8174,0.8174,
G5,NDVI,17,0.7457,0.7245,0.7669,0.6268
G5,NDVI,18,0.6694,0.6694,0.6694,0.6529
G5,NDVI,19,,,,0.5244
G5,NDVI,20,0.4958,0.4958,0.4958,
G5,NDVI,21,,,,
G5,NDVI,22,0.3646,0.3646,0.3646,
G5,NDVI,23,0.3557,0.3557,0.3557,
G5,NDVI,24,0.3669,0.3669,0.3669,
G5,NDVI,25,0.3786,0.3786,0.3786,
G5,NDVI,26,0.3544,0.3521,0.3567,
G5,NDVI,27,0.3509,0.3508,0.3509,
G5,NDVI,28,0.3559,0.3514,0.3605,
G5,NDVI,29,0.3559,0.3521,0.3597,
G5,NDVI,30,0.2075,0.2075,0.2075,
G5,NDVI,31,,,,
G5,NDVI,32,0.3363,0.3149,0.3576,
G5,NDVI,33,0.3693,0.3693,0.3693,
G5,NDVI,34,0.2906,0.2906,0.2906,
G5,NDVI,35,0.3423,0.3423,0.3423,
G5,NDVI,36,0.2908,0.2849,0.2967,
G5,NDVI,37,0.2552,0.2518,0.2586,
G5,NDVI,38,0.2469,0.2380,0.2558,
G5,NDVI,39,0.2727,0.2571,0.2883,
G5,NDVI,40,0.3825,0.3825,0.3825,
G5,NDVI,41,0.3914,0.3914,0.3914,
