predio,band,month,historical_median,historical_p25,historical_p75,value_2026
G6,NDVI,1,0.8106,0.8000,0.8171,0.7482
G6,NDVI,2,0.7747,0.7633,0.7949,0.7401
G6,NDVI,3,0.7424,0.7308,0.7664,0.7067
G6,NDVI,4,0.7682,0.7581,0.7950,0.6515
G6,NDVI,5,0.5497,0.4369,0.6172,
G6,NDVI,6,0.3887,0.3546,0.4081,
G6,NDVI,7,0.2853,0.2791,0.3483,
G6,NDVI,8,0.2393,0.2124,0.2482,
G6,NDVI,9,0.2469,0.2346,0.3248,
G6,NDVI,10,0.6420,0.6088,0.7593,
G6,NDVI,11,0.7568,0.7108,0.7952,
G6,NDVI,12,0.7793,0.7425,0.8142,
G6,NDMI,1,0.3890,0.3802,0.3938,0.3289
G6,NDMI,2,0.3175,0.2797,0.3485,0.3043
G6,NDMI,3,0.2498,0.2382,0.2753,0.2646
G6,NDMI,4,0.2723,0.2494,0.3010,0.2433
G6,NDMI,5,0.1580,0.0927,0.2079,
G6,NDMI,6,-0.1086,-0.1164,-0.0907,
G6,NDMI,7,-0.1146,-0.1191,-0.1019,
G6,NDMI,8,-0.0923,-0.1078,-0.0866,
G6,NDMI,9,-0.0300,-0.0433,0.0099,
G6,NDMI,10,0.2323,0.1971,0.3287,
G6,NDMI,11,0.3431,0.3011,0.3688,
G6,NDMI,12,0.3725,0.3430,0.3980,
G6,NDWI,1,-0.7425,-0.7532,-0.7324,-0.7057
G6,NDWI,2,-0.7133,-0.7318,-0.7062,-0.7101
G6,NDWI,3,-0.6926,-0.7108,-0.6790,-0.6870
G6,NDWI,4,-0.7256,-0.7443,-0.7144,-0.6556
G6,NDWI,5,-0.6472,-0.6556,-0.5859,
G6,NDWI,6,-0.5655,-0.6072,-0.5582,
G6,NDWI,7,-0.4811,-0.4984,-0.4611,
G6,NDWI,8,-0.3977,-0.4088,-0.3539,
G6,NDWI,9,-0.3934,-0.4410,-0.3799,
G6,NDWI,10,-0.6369,-0.6920,-0.6080,
G6,NDWI,11,-0.6941,-0.7268,-0.6714,
G6,NDWI,12,-0.7165,-0.7437,-0.6926,
G6,MNDWI,1,-0.4997,-0.5214,-0.4875,-0.5088
G6,MNDWI,2,-0.5216,-0.5468,-0.4992,-0.5357
G6,MNDWI,3,-0.5393,-0.5470,-0.5232,-0.5240
