predio,band,month,historical_median,historical_p25,historical_p75,value_2026
G4,NDVI,1,0.8334,0.8309,0.8396,0.8460
G4,NDVI,2,0.8480,0.8132,0.8581,0.8321
G4,NDVI,3,0.8005,0.7425,0.8539,0.7911
G4,NDVI,4,0.8135,0.7521,0.8546,0.7266
G4,NDVI,5,0.7189,0.6145,0.7292,
G4,NDVI,6,0.4305,0.3860,0.5045,
G4,NDVI,7,0.3552,0.3306,0.3840,
G4,NDVI,8,0.3853,0.2970,0.4188,
G4,NDVI,9,0.1936,0.1743,0.2049,
G4,NDVI,10,0.4840,0.4012,0.6666,
G4,NDVI,11,0.8482,0.7963,0.8658,
G4,NDVI,12,0.8760,0.8710,0.8807,
G4,NDMI,1,0.3801,0.3762,0.3871,0.3882
G4,NDMI,2,0.3874,0.3643,0.3974,0.3790
G4,NDMI,3,0.3603,0.3185,0.4076,0.3515
G4,NDMI,4,0.3774,0.3428,0.4291,0.3410
G4,NDMI,5,0.3313,0.2715,0.3412,
G4,NDMI,6,0.1057,0.0994,0.1800,
G4,NDMI,7,-0.0262,-0.0631,-0.0190,
G4,NDMI,8,-0.0615,-0.0691,-0.0268,
G4,NDMI,9,-0.1235,-0.1357,-0.0969,
G4,NDMI,10,0.1178,0.0388,0.2401,
G4,NDMI,11,0.3847,0.3442,0.4009,
G4,NDMI,12,0.4257,0.4120,0.4269,
G4,NDWI,1,-0.7450,-0.7553,-0.7340,-0.7625
G4,NDWI,2,-0.7413,-0.7525,-0.7341,-0.7603
G4,NDWI,3,-0.7378,-0.7717,-0.7018,-0.7373
G4,NDWI,4,-0.7532,-0.7769,-0.7172,-0.7036
G4,NDWI,5,-0.7115,-0.7139,-0.6498,
G4,NDWI,6,-0.6548,-0.6575,-0.6172,
G4,NDWI,7,-0.5735,-0.5960,-0.5291,
G4,NDWI,8,-0.5082,-0.5091,-0.4457,
G4,NDWI,9,-0.3653,-0.3790,-0.3493,
G4,NDWI,10,-0.5247,-0.6364,-0.4719,
G4,NDWI,11,-0.7375,-0.7544,-0.7019,
G4,NDWI,12,-0.7704,-0.7745,-0.7657,
G4,MNDWI,1,-0.5026,-0.5218,-0.4901,-0.5302
G4,MNDWI,2,-0.5158,-0.5221,-0.4945,-0.5345
G4,MNDWI,3,-0.5154,-0.5306,-0.4940,-0.5182
G4,MNDWI,4,-0.5198,-0.5294,-0.5026,-0.4777
G4,MNDWI,5,-0.4803,-0.4928,-0.4560,
G4,MNDWI,6,-0.5473,-0.5575,-0.5418,
G4,MNDWI,7,-0.6056,-0.6129,-0.5863,
G4,MNDWI,8,-0.5276,-0.5610,-0.4939,
G4,MNDWI,9,-0.4584,-0.4810,-0.4431,
G4,MNDWI,10,-0.4471,-0.4694,-0.4224,
G4,MNDWI,11,-0.4917,-0.5045,-0.4768,
G4,MNDWI,12,-0.5164,-0.5226,-0.5102,
G4,GNDVI,1,0.7450,0.7340,0.7553,0.7625
G4,GNDVI,2,0.7413,0.7341,0.7525,0.7603
G4,GNDVI,3,0.7378,0.7018,0.7717,0.7373
G4,GNDVI,4,0.7532,0.7172,0.7769,0.7036
G4,GNDVI,5,0.7115,0.6498,0.7139,
G4,GNDVI,6,0.6548,0.6172,0.6575,
G4,GNDVI,7,0.5735,0.5291,0.5960,
G4,GNDVI,8,0.5082,0.4457,0.5091,
G4,GNDVI,9,0.3653,0.3493,0.3790,
G4,GNDVI,10,0.5247,0.4719,0.6364,
G4,GNDVI,11,0.7375,0.7019,0.7544,
G4,GNDVI,12,0.7704,0.7657,0.7745,
G4,EVI,1,0.6857,0.6661,0.6998,0.7080
G4,EVI,2,0.7174,0.6384,0.7413,0.6375
G4,EVI,3,0.6156,0.5409,0.6854,0.5726
G4,EVI,4,0.5950,0.5563,0.6568,0.4954
G4,EVI,5,0.4891,0.4001,0.4926,
G4,EVI,6,0.2217,0.2147,0.2675,
G4,EVI,7,0.1756,0.1636,0.2029,
G4,EVI,8,0.2024,0.1360,0.2435,
G4,EVI,9,0.0874,0.0835,0.0914,
G4,EVI,10,0.2713,0.2160,0.4070,
G4,EVI,11,0.6538,0.5959,0.7020,
G4,EVI,12,0.7474,0.7362,0.7744,
G4,SAVI,1,0.6020,0.5980,0.6143,0.6181
G4,SAVI,2,0.6321,0.5810,0.6374,0.5876
G4,SAVI,3,0.5554,0.4976,0.6149,0.5331
G4,SAVI,4,0.5533,0.5164,0.6017,0.4775
G4,SAVI,5,0.4801,0.4006,0.4844,
G4,SAVI,6,0.2519,0.2430,0.3065,
G4,SAVI,7,0.1975,0.1826,0.2288,
G4,SAVI,8,0.2142,0.1427,0.2462,
G4,SAVI,9,0.0945,0.0897,0.0983,
G4,SAVI,10,0.2753,0.2261,0.4056,
G4,SAVI,11,0.5990,0.5434,0.6300,
G4,SAVI,12,0.6585,0.6538,0.6671,
G4,MSAVI,1,0.6402,0.6347,0.6569,0.6626
G4,MSAVI,2,0.6811,0.6091,0.6886,0.6200
G4,MSAVI,3,0.5757,0.4979,0.6615,0.5449
G4,MSAVI,4,0.5727,0.5299,0.6438,0.4741
G4,MSAVI,5,0.4753,0.3854,0.4812,
G4,MSAVI,6,0.2237,0.2176,0.2797,
G4,MSAVI,7,0.1706,0.1566,0.2021,
G4,MSAVI,8,0.1865,0.1204,0.2186,
G4,MSAVI,9,0.0771,0.0745,0.0804,
G4,MSAVI,10,0.2449,0.1980,0.3853,
G4,MSAVI,11,0.6393,0.5608,0.6850,
G4,MSAVI,12,0.7253,0.7140,0.7328,
G4,ARI,1,6.8725,6.6188,7.1139,7.9174
G4,ARI,2,7.4126,6.5860,8.5850,8.5929
G4,ARI,3,7.9513,7.4183,8.2492,8.8052
G4,ARI,4,10.3574,9.1505,10.5268,8.8865
G4,ARI,5,9.5749,8.5357,9.6396,
G4,ARI,6,11.0898,10.4020,14.0773,
G4,ARI,7,9.5882,8.7704,10.3083,
G4,ARI,8,7.0775,6.0514,7.3148,
G4,ARI,9,5.7077,5.3959,6.2009,
G4,ARI,10,6.1093,5.4619,6.9435,
G4,ARI,11,6.9646,6.5722,7.4768,
G4,ARI,12,7.2438,6.7774,7.9002,
G4,MARI,1,2.9005,2.7259,2.9852,3.4715
G4,MARI,2,3.1159,2.9419,3.4097,3.3137
G4,MARI,3,2.9163,2.6083,3.3964,3.0528
G4,MARI,4,3.3649,3.0569,3.9658,2.8475
G4,MARI,5,2.9700,2.3875,3.0102,
G4,MARI,6,2.8338,2.2950,2.8443,
G4,MARI,7,1.7846,1.5050,1.9245,
G4,MARI,8,1.2474,1.0450,1.2479,
G4,MARI,9,0.7851,0.7495,0.8467,
G4,MARI,10,1.2966,1.1702,1.9658,
G4,MARI,11,2.9687,2.3728,3.1966,
G4,MARI,12,3.2920,3.1818,3.6547,
