predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
G2,NDVI,1,0.8379,0.8344,0.8415,0.8459
G2,NDVI,2,0.8288,0.8185,0.8392,0.8536
G2,NDVI,3,0.8243,0.8239,0.8247,0.7507
G2,NDVI,4,0.8033,0.8009,0.8056,0.7759
G2,NDVI,5,0.7826,0.7749,0.7903,0.8180
G2,NDVI,6,0.7714,0.7676,0.7752,0.8201
G2,NDVI,7,0.7604,0.7465,0.7744,0.8026
G2,NDVI,8,0.7138,0.7138,0.7138,0.8034
G2,NDVI,9,0.7546,0.7307,0.7784,0.7636
G2,NDVI,10,0.7425,0.7178,0.7671,0.7644
G2,NDVI,11,0.7335,0.7012,0.7658,0.7331
G2,NDVI,12,0.7205,0.6925,0.7485,0.7596
G2,NDVI,13,0.7072,0.6828,0.7316,0.7839
G2,NDVI,14,0.7104,0.6963,0.7246,0.7711
G2,NDVI,15,0.7237,0.7237,0.7237,0.6550
G2,NDVI,16,0.8453,0.8453,0.8453,
G2,NDVI,17,0.7258,0.6784,0.7732,0.6438
G2,NDVI,18,0.6894,0.6894,0.6894,0.7516
G2,NDVI,19,,,,0.6780
G2,NDVI,20,0.6985,0.6907,0.7063,
G2,NDVI,21,,,,
G2,NDVI,22,0.5755,0.5755,0.5755,
G2,NDVI,23,0.5080,0.5080,0.5080,
G2,NDVI,24,0.4012,0.4012,0.4012,
G2,NDVI,25,0.4711,0.4711,0.4711,
G2,NDVI,26,0.3562,0.3426,0.3698,
G2,NDVI,27,0.3267,0.3202,0.3332,
G2,NDVI,28,0.3174,0.3123,0.3225,
G2,NDVI,29,0.2978,0.2886,0.3069,
G2,NDVI,30,0.2109,0.2109,0.2109,
G2,NDVI,31,,,,
G2,NDVI,32,0.2805,0.2713,0.2897,
G2,NDVI,33,0.2557,0.2557,0.2557,
G2,NDVI,34,0.2465,0.2370,0.2560,
G2,NDVI,35,0.2724,0.2724,0.2724,
G2,NDVI,36,0.2387,0.2360,0.2413,
G2,NDVI,37,0.2318,0.2291,0.2345,
G2,NDVI,38,0.2235,0.2214,0.2255,
G2,NDVI,39,0.2497,0.2444,0.2550,
G2,NDVI,40,0.3605,0.3605,0.3605,
G2,NDVI,41,0.3857,0.3857,0.3857,
G2,NDVI,42,0.6240,0.5882,0.6598,
G2,NDVI,43,0.7783,0.7683,0.7882,
G2,NDVI,44,0.8131,0.8115,0.8147,
