predio,band,month,historical_median,historical_p25,historical_p75,value_2026
G5,NDVI,1,0.8625,0.8527,0.8720,0.8790
G5,NDVI,2,0.8312,0.8027,0.8360,0.8540
G5,NDVI,3,0.7764,0.7283,0.8090,0.7777
G5,NDVI,4,0.7468,0.7233,0.7877,0.6699
G5,NDVI,5,0.4820,0.4184,0.5786,0.5235
G5,NDVI,6,0.3533,0.3473,0.3624,
G5,NDVI,7,0.3454,0.3439,0.3526,
G5,NDVI,8,0.3335,0.2855,0.3577,
G5,NDVI,9,0.2520,0.2396,0.2750,
G5,NDVI,10,0.6899,0.4932,0.7572,
G5,NDVI,11,0.8963,0.8766,0.9039,
G5,NDVI,12,0.9024,0.8999,0.9070,
G5,NDMI,1,0.4480,0.4381,0.4493,0.4716
G5,NDMI,2,0.3990,0.3794,0.4140,0.4286
G5,NDMI,3,0.3571,0.3239,0.3870,0.3804
G5,NDMI,4,0.3460,0.3271,0.3883,0.3464
G5,NDMI,5,0.2975,0.1706,0.3031,0.3020
G5,NDMI,6,0.0372,0.0016,0.0489,
G5,NDMI,7,-0.0670,-0.1123,-0.0456,
G5,NDMI,8,-0.1211,-0.1385,-0.1107,
G5,NDMI,9,-0.1541,-0.1652,-0.1221,
G5,NDMI,10,0.2104,0.0270,0.2555,
G5,NDMI,11,0.4293,0.4035,0.4592,
G5,NDMI,12,0.4893,0.4848,0.4953,
G5,NDWI,1,-0.7732,-0.7838,-0.7622,-0.7970
G5,NDWI,2,-0.7596,-0.7661,-0.7422,-0.7772
G5,NDWI,3,-0.7191,-0.7432,-0.6892,-0.7217
G5,NDWI,4,-0.7108,-0.7402,-0.7061,-0.6576
G5,NDWI,5,-0.6283,-0.6570,-0.6240,-0.6046
G5,NDWI,6,-0.6356,-0.6372,-0.6339,
G5,NDWI,7,-0.5748,-0.5968,-0.5625,
G5,NDWI,8,-0.4985,-0.5173,-0.4780,
G5,NDWI,9,-0.4272,-0.4479,-0.4207,
G5,NDWI,10,-0.6579,-0.6949,-0.5524,
G5,NDWI,11,-0.7781,-0.7860,-0.7675,
G5,NDWI,12,-0.7985,-0.8025,-0.7946,
G5,MNDWI,1,-0.4980,-0.5151,-0.4953,-0.5258
G5,MNDWI,2,-0.5161,-0.5179,-0.4962,-0.5205
G5,MNDWI,3,-0.4882,-0.5014,-0.4773,-0.4727
G5,MNDWI,4,-0.4918,-0.4967,-0.4815,-0.4284
G5,MNDWI,5,-0.4773,-0.5370,-0.4357,-0.3709
G5,MNDWI,6,-0.6145,-0.6269,-0.6054,
