source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,o_herrera,Nectarin — Oscar Herrera,NDVI,2026-01-21,2026,21 Jan 2026,20260121,0.3135
drone,o_herrera,Nectarin — Oscar Herrera,NDWI,2026-01-21,2026,21 Jan 2026,20260121,-0.0775
