source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,a_brito_rci,El resguardo RCI — Alejandra Brito,NDVI,2026-05-28,2026,28 May 2026,20260528,0.4093
drone,a_brito_rci,El resguardo RCI — Alejandra Brito,NDWI,2026-05-28,2026,28 May 2026,20260528,-0.1024
