source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,g1,Campo temporal G1,NDVI,2026-01-21,2026,21 Jan 2026,20260121,-0.2534
drone,g1,Campo temporal G1,NDWI,2026-01-21,2026,21 Jan 2026,20260121,0.1954
