source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,r_porfiri,Hacienda Rinconada — Ricardo Porfiri,NDVI,2026-06-12,2026,12 Jun 2026,20260612,0.2586
drone,r_porfiri,Hacienda Rinconada — Ricardo Porfiri,NDWI,2026-06-12,2026,12 Jun 2026,20260612,-0.0753
