source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,nog,Predio NOG (sin G numérico),NDVI,2026-01-21,2026,21 Jan 2026,20260121,0.0692
drone,nog,Predio NOG (sin G numérico),NDWI,2026-01-21,2026,21 Jan 2026,20260121,0.1187
