source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,b_devoto,Agr. Rivarola — Bruno Devoto,NDVI,2026-05-29,2026,29 May 2026,20260529,0.4813
drone,b_devoto,Agr. Rivarola — Bruno Devoto,NDWI,2026-05-29,2026,29 May 2026,20260529,-0.1598
