source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,g4,Predio temporal G4,NDVI,2026-01-21,2026,21 Jan 2026,20260121,0.794
drone,g4,Predio temporal G4,NDWI,2026-01-21,2026,21 Jan 2026,20260121,-0.5849
