source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,g2,Parcela demostración G2,NDVI,2026-01-21,2026,21 Jan 2026,20260121,-0.3918
drone,g2,Parcela demostración G2,NDWI,2026-01-21,2026,21 Jan 2026,20260121,0.4159
