source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,v_fernandez,Trinidad — Vicente Fernandez,NDVI,2026-06-18,2026,18 Jun 2026,20260618,0.2507
drone,v_fernandez,Trinidad — Vicente Fernandez,NDWI,2026-06-18,2026,18 Jun 2026,20260618,-0.072
