source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,g3,Lote pendiente alta resolución G3,NDVI,2026-01-21,2026,21 Jan 2026,20260121,-0.3835
drone,g3,Lote pendiente alta resolución G3,NDWI,2026-01-21,2026,21 Jan 2026,20260121,0.3676
