source,predio_id,predio_name,index,date,year,season,period_key,mean
drone,j_contreras,Parcela 14 — Juan Contreras,NDVI,2026-01-21,2026,21 Jan 2026,20260121,0.3436
drone,j_contreras,Parcela 14 — Juan Contreras,NDWI,2026-01-21,2026,21 Jan 2026,20260121,-0.1029
