source,wetland_id,wetland_name,index,date,year,season,period_key,mean
drone,g6,Predio temporal G6,NDVI,2026-01-21,2026,21 Jan 2026,20260121,0.4474
drone,g6,Predio temporal G6,NDWI,2026-01-21,2026,21 Jan 2026,20260121,-0.1736
